排名,股票代码,panic_depth,support_strength,panic_volume,catalyst_score,base_score,formula_score,总分,penalty_log,name
1,002759.SZ,15.0,12.0,60.719199999999994,8.0,51.0,51.0,51.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",天际股份
2,300342.SZ,23.0,0.0,169.38809999999998,8.0,51.0,51.0,51.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",天银机电
3,002976.SZ,23.0,0.0,105.3715,8.0,51.0,51.0,51.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",瑞玛精密
4,300677.SZ,30.0,0.0,45.9435,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",英科医疗
5,600026.SH,30.0,0.0,33.0171,8.0,50.0,50.0,50.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",中远海能
6,301666.SZ,8.0,12.0,304.114,8.0,48.0,48.0,48.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",大普微-UW
7,001259.SZ,20.0,0.0,113.14080000000001,8.0,48.0,48.0,48.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",利仁科技
8,300118.SZ,15.0,12.0,39.4264,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",东方日升
9,600256.SH,27.0,0.0,30.0576,8.0,47.0,47.0,47.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",广汇能源
10,002229.SZ,26.0,0.0,35.2967,8.0,46.0,46.0,46.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",鸿博股份
11,300249.SZ,5.0,12.0,159.39589999999998,8.0,45.0,45.0,45.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",依米康
12,600478.SH,12.0,12.0,33.921600000000005,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",科力远
13,301489.SZ,8.0,12.0,62.660000000000004,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",思泉新材
14,603766.SH,30.0,0.0,27.2303,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",隆鑫通用
15,600536.SH,30.0,0.0,20.049999999999997,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",中国软件
16,300302.SZ,8.0,12.0,58.367999999999995,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",同有科技
17,603878.SH,30.0,0.0,18.938200000000002,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",武进不锈
18,603180.SH,30.0,0.0,16.830000000000002,8.0,44.0,44.0,44.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",金牌家居
19,603007.SH,23.0,0.0,45.7028,8.0,43.0,43.0,43.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",顺景科技
20,301276.SZ,15.0,0.0,280.7376,8.0,43.0,43.0,43.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",嘉曼服饰
21,300956.SZ,15.0,8.0,46.0158,8.0,43.0,43.0,43.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",英力股份
22,002490.SZ,23.0,0.0,47.262600000000006,8.0,43.0,43.0,43.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",山东墨龙
23,002040.SZ,27.0,0.0,22.403,8.0,41.0,41.0,41.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",南 京 港
24,688283.SH,27.0,0.0,20.2704,8.0,41.0,41.0,41.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",XD坤恒顺
25,000863.SZ,27.0,0.0,15.5394,8.0,41.0,41.0,41.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",三湘印象
26,002545.SZ,27.0,0.0,20.6145,8.0,41.0,41.0,41.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",东方铁塔
27,002532.SZ,27.0,0.0,23.2412,8.0,41.0,41.0,41.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",天山铝业
28,002001.SZ,27.0,0.0,20.544,8.0,41.0,41.0,41.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",新 和 成
29,000733.SZ,0.0,12.0,138.976,8.0,40.0,40.0,40.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",振华科技
30,603120.SH,12.0,0.0,118.0872,8.0,40.0,40.0,40.0,"[{'reason': '板块/量能催化不足', 'multiplier': 0.5, 'hit_count': 2368}]",肯特催化
