排名,股票代码,seal_ratio,seal_amount,seal_strength,consecutive_limit,volume_ratio,base_score,formula_score,总分,penalty_log
1,000756.SZ,0.52,7412.43,2.41,,,30,30,30,
2,002648.SZ,1.05,66296.93,0.4,,,30,30,30,
3,002674.SZ,22.99,44307.7,0.06,,,30,30,30,
4,603630.SH,0.51,5452.19,2.18,,,30,30,30,
5,000551.SZ,0.93,27565.73,0.8,,,28,28,28,
6,603106.SH,0.51,6137.56,1.95,,,28,28,28,
7,605118.SH,1.5,11319.69,0.71,,,28,28,28,
8,002370.SZ,0.57,6376.82,1.26,,,25,25,25,
9,001225.SZ,1.33,9112.05,1.23,,,25,25,25,
10,603210.SH,0.78,5990.7,1.18,,,25,25,25,
11,002031.SZ,0.2,13274.89,1.06,,,22,22,22,
12,002822.SZ,4.72,2285.95,0.16,,,22,22,22,
13,002728.SZ,0.44,5799.86,1.97,,,22,22,22,
14,603595.SH,4.54,3557.16,0.07,,,22,22,22,
15,600708.SH,0.38,5834.72,1.51,,,22,22,22,
16,605069.SH,0.5,4394.93,0.41,,,22,22,22,
17,603122.SH,0.34,6231.12,1.76,,,22,22,22,
18,605167.SH,0.44,12148.26,0.79,,,22,22,22,
19,605369.SH,0.76,3889.42,1.48,,,22,22,22,
20,001279.SZ,0.23,1752.16,2.02,,,21,21,21,
21,600171.SH,0.15,19088.3,2.29,,,21,21,21,
22,605377.SH,0.29,4217.32,2.33,,,21,21,21,
23,600793.SH,0.32,4296.04,2.91,,,21,21,21,
24,301211.SZ,0.32,4776.69,5.14,,,21,21,21,
25,002592.SZ,0.76,825.46,0.54,,,20,20,20,
26,002687.SZ,0.2,2410.48,1.88,,,19,19,19,
27,600843.SH,0.32,7539.42,1.22,,,19,19,19,
28,605366.SH,0.26,6663.17,0.83,,,19,19,19,
29,002038.SZ,0.47,7059.46,1.28,,,19,19,19,
30,000783.SZ,0.07,20330.77,1.86,,,19,19,19,
