排名,股票代码,ma_alignment,price_volume_score,macd_direction,main_inflow,big_buy_ratio,base_score,formula_score,总分,penalty_log
1,000062.SZ,0.0,4.0,0.0,27039.33,0.4094010614101592,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
2,000703.SZ,0.0,4.0,0.0,1464.84,0.8045690936106984,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
3,000510.SZ,0.0,4.0,0.0,845.48,0.45995517810804437,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
4,000782.SZ,0.0,4.0,0.0,1474.3,0.5335119638741591,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
5,000962.SZ,0.0,4.0,0.0,12759.46,0.5201768144873806,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
6,002132.SZ,0.0,4.0,0.0,8792.17,0.49032349535669556,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
7,000988.SZ,0.0,4.0,0.0,32634.11,0.4021106443285924,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
8,001203.SZ,0.0,4.0,0.0,11896.19,0.42100535239735,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
9,002008.SZ,0.0,4.0,0.0,53972.12,0.5817117693552637,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
10,002653.SZ,0.0,4.0,0.0,2482.81,0.4238013698630137,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
11,002636.SZ,0.0,4.0,0.0,35528.84,0.44217203153713913,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
12,002475.SZ,0.0,4.0,0.0,474551.19,0.5474661277884415,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
13,002440.SZ,0.0,4.0,0.0,6375.8,0.524868867933709,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
14,300179.SZ,0.0,4.0,0.0,6708.45,0.42580617894425427,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
15,603906.SH,0.0,4.0,0.0,6048.63,0.4848893844257966,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
16,688072.SH,0.0,4.0,0.0,60506.32,0.4151881943292986,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
17,301611.SZ,0.0,4.0,0.0,34516.79,0.460754421116822,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
18,603155.SH,0.0,4.0,0.0,3367.35,0.43487754499852466,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
19,603283.SH,0.0,4.0,0.0,7927.28,0.5499195956811395,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
20,601212.SH,0.0,4.0,0.0,1470.88,0.43486182005534635,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
21,600531.SH,0.0,4.0,0.0,32680.96,0.5865199982137806,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
22,301489.SZ,0.0,4.0,0.0,24136.83,0.42931886445111905,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
23,301526.SZ,0.0,4.0,0.0,112008.24,0.48942489718650045,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
24,300938.SZ,0.0,4.0,0.0,16654.15,0.41708053364495085,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
25,301421.SZ,0.0,4.0,0.0,9072.31,0.4791268144480702,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
26,300790.SZ,0.0,4.0,0.0,1263.82,0.5577333333333333,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
27,300726.SZ,0.0,4.0,0.0,24847.6,0.40375798571965427,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
28,300567.SZ,0.0,4.0,0.0,73995.34,0.6174059787849566,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
29,300489.SZ,0.0,4.0,0.0,12550.93,0.617908787541713,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
30,688090.SH,0.0,4.0,0.0,15663.64,0.4924100289953948,24.0,24.0,7.199999999999999,"[{'reason': '短期均线空头（MA5<=MA10）', 'multiplier': 0.3, 'hit_count': 5192}]"
